line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
667,Go away!,8,2,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6249134767765087,6
668,"Its you, isnt it?",17,4,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6246862463765552,6
669,Hang on!,8,2,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.25,4
670,Be quiet!,9,2,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6248913463394082,0
671,Haku!,5,1,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6249827369555452,6
672,Go away!,8,2,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6249134767765087,6
674,Im not afraid of blood.,23,5,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6891417669088057,6
675,Please be a good boy and wait.,30,7,positive,0.6369,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.5992943064698869,2
676,If you dont play,16,4,negative,-0.2584,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6791662564210189,6
677,"Please, wait!",13,2,positive,0.3802,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.41468193811133086,4
678,What a racket.,14,3,neutral,0.0,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.624730371620015,1
679,"Youre a little butterball, arent you?",37,6,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.32470295078414435,4
680,I am a bit transparent here.,28,6,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.25,4
681,Baba...,7,1,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6248555208841582,6
682,"Oh dear, cant you even tell",27,6,positive,0.3818,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.4286118719970044,4
683,"There, that gives you",21,4,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.25,4
684,Lets see now.,13,3,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.40845371400030156,3
685,This is our little secret.,26,5,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6249542245366261,0
686,Ill do the same to you.,23,6,negative,-0.4215,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6249616980741242,1
687,Who are you?,12,3,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.25,4
688,Yubabas older twin sister.,26,4,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6890493241622245,0
689,Thanks to you Ive had,21,5,positive,0.4404,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.39905673344043435,3
690,Now hand over the dragon.,25,5,positive,0.4939,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.3985870915441554,4
691,What are you going to do?,25,6,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.6249322269124928,2
692,That dragons a thief.,21,4,negative,-0.5267,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6824757419849633,6
693,He stole a valuable seal from my house.,39,8,positive,0.4767,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.5177101743505,1
694,Haku would never do that.,25,5,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.565843358781058,2
695,All dragons are kind.,21,4,positive,0.5267,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.685971282405347,0
696,and eager to learn,18,4,positive,0.3612,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6248477170748933,1
697,This boy will do anything,25,5,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6195452240549564,0
698,Now step aside.,15,3,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.624919144731969,0
699,Its too late for him anyway.,28,6,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6247636703770505,0
700,The thing he stole,18,4,neutral,0.0,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6247591241872787,1
701,Now the thief will die.,23,5,negative,-0.8074,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6889600157242799,6
702,"No, dont!",9,2,negative,-0.3595,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6249812413154204,6
703,What are you up to now?,23,6,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.25,4
704,"All right, thats enough.",24,4,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.5384753269137542,5
705,"Oh dear, that was careless...",29,5,positive,0.3818,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.62491737136315,0
706,"Haku, no!",9,2,negative,-0.3595,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6249827369555452,6
707,Haku!,5,1,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6249827369555452,6
708,What is this?,13,3,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.25,4
709,Hold on there!,14,3,neutral,0.0,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6248081056546236,1
710,Haku!,5,1,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6249827369555452,6
711,Does it hurt?,13,3,negative,-0.5267,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6249083986270111,0
712,This is serious.,16,3,negative,-0.0772,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6247452795342839,1
713,"Haku, dont give up.",19,4,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.4762898758610004,6
714,What can we do? Hell die!,25,6,negative,-0.8687,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6889612826584887,6
715,Something inside him,20,3,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6249367460667565,0
716,Inside him?,11,2,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6249367460667565,0
717,Its a strong spell.,19,4,positive,0.5106,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.619039479457874,2
718,"Haku, the river guardian gave me this.",38,7,neutral,0.0,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6302249351850908,1
719,"Eat it, maybe it will help.",27,6,positive,0.4019,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.4038134181356567,4
720,"Haku, open your mouth.",22,4,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.5634688077512218,0
721,"Please Haku, eat it.",20,4,positive,0.3182,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.3371039608135721,4
722,"See, its safe.",14,3,positive,0.4404,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.4394589221046419,4
723,Is it some kind of medicine?,28,6,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.6248495032646271,0
724,Open your mouth.,16,3,neutral,0.0,3,"way, lin, little, give, still, eat, inside, coming, tell, sorry",0.689122867538567,0
725,Thats it.,9,2,neutral,0.0,2,"haku, dont, back, mom, thats, dad, look, get, name, lets",0.6249593929351108,6
726,Swallow it.,11,2,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.6247449929223776,2
727,He spit something out.,22,4,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.25,4
728,The seal!,9,2,neutral,0.0,1,"sen, right, please, youre, thank, ill, yubaba, one, hes, gold",0.6216268360727997,1
729,Its getting away.,17,3,neutral,0.0,0,"chihiro, come, hurry, see, cant, good, wait, take, got, kamaji",0.4061277890862587,3
