line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
177,"Worked out pretty good, huh?",28,5,positive,0.7269,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.6672671171521873,0
178,You gotta be a real witch!,26,6,negative,-0.4199,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.6999302653920815,4
179,Do you think may be you can,27,7,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.6648235492871386,0
180,"Hey, Tombo!",11,2,neutral,0.0,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.5999892614921033,1
181,May be you can sweep off her feet with that broom!,50,11,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.6615627552753185,0
182,"Hey, shut up, all right?",24,5,neutral,0.0,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.6638823348999983,3
183,"You know, miss, I love flying too.",34,7,positive,0.5574,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.7298921382491811,4
184,Thank you for getting me out of trouble.,40,8,negative,-0.0516,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.5181393171679931,1
185,But I really shouldnt be talking.,33,6,neutral,0.0,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.5993347637931977,1
186,Its very rude to talk to a girl,31,8,negative,-0.5095,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.6680335223206352,4
187,"Youre kinda old-fashioned, arent you?",37,6,neutral,0.0,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.3100256174293518,5
188,Just go away and leave me alone!,32,7,negative,-0.3595,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.4902303458149169,2
189,Hey...Dont go!,14,3,neutral,0.0,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.5974571505262481,3
190,What a cool witch.,18,4,negative,-0.0516,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.6664703033168141,4
191,Stay here tonight? Im afraid I dont understand.,47,8,neutral,0.0,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.7484458168139484,2
192,No. Im alone. Ive come to this town,35,8,negative,-0.4939,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.7288681694727515,2
193,Do you have some identification?,32,5,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.2,5
194,Never mind.,11,2,neutral,0.0,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.66785447638231,1
195,"- Kiki, arent you going to eat that?",36,7,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.7291877978672937,0
196,Where are we going to stay tonight?,35,7,neutral,0.0,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.5085591507174894,2
197,Lets go.,8,2,neutral,0.0,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.5999820469380862,4
198,Why dont we go find another town?,33,7,neutral,0.0,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.7196657871059922,3
199,I bet there are bigger and better ones.,39,8,positive,0.4404,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.7060959542881728,4
200,Oh dear...Oh my goodness!,25,5,positive,0.5093,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.6676977914865301,0
201,Hey there! Your pacifier!,25,4,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.5985361962536606,0
202,"Maam, you forgot your babys pacifier!",37,6,neutral,0.0,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.7313638904386899,0
203,Oh...poor baby!,15,3,neutral,0.0,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.667990536919475,2
204,"Without this, the baby will wake up and",39,8,neutral,0.0,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.7068184648470955,2
205,I better go give it to her myself.,34,8,positive,0.4404,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.39105756597086405,5
206,"Im sorry folks, but could you wait",34,7,neutral,-0.0387,0,"kiki, great, time, may, delivery, good, wait, whats, pretty, maam",0.5830431814575285,0
207,- Excuse me. But would you like me to deliver it for you?,57,12,positive,0.5267,3,"yes, tell, see, right, tombo, mean, cat, didnt, stay, stop",0.6671341559046754,1
208,The woman with the baby carriage just went around the corner.,61,11,neutral,0.0,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.5015291216127196,2
209,Really? Youll do that?,22,4,neutral,0.0,4,"thats, okay, youre, look, get, dont, yeah, ill, think, way",0.5999766997489758,3
210,- Thank you so much.,20,4,positive,0.3612,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.6682880653197325,4
211,"Lets go, Jiji.",14,3,neutral,0.0,1,"sorry, know, much, witch, going, sure, better, thank, girl, one",0.40546377993864063,5
212,Wow!,4,1,positive,0.6239,2,"come, jiji, back, please, want, dont, fly, little, beautiful, wow",0.5999863768932066,2
