line_number,cleaned_line,char_length,word_count,sentiment,compound,dominant_topic,topic_keywords,topic_confidence,cluster
96,Thank you for coming.,21,4,positive,0.3612,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.654727933999204,2
97,"Lord Yupa, theres something",27,4,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.6945602202483603,6
98,My secret room.,15,3,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.5833264416913642,1
99,Its a secret. I dont,20,5,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.6505543825732895,1
100,Ill tell them youre coming.,27,5,negative,-0.4215,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.3703640209807892,0
101,Come soon!,10,2,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.6528669677123975,3
102,Lord Yupa.,10,2,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.654810443553359,6
103,Would you carry this?,21,4,neutral,0.0,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.6536493090504445,2
104,Its hard to fly with.,21,5,negative,-0.1027,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.38057707697870147,0
105,She certainly reads the wind well.,34,6,positive,0.5423,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.40276807102128137,6
106,Not far now.,12,3,neutral,0.0,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.5833287804182096,2
107,"Lord Yupa, welcome.",19,3,positive,0.4588,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.654810443553359,6
108,Are you in good health?,23,5,positive,0.4404,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.5833318022629095,6
109,The waters and winds,20,4,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.6546686187014193,6
110,Lord Yupa.,10,2,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.654810443553359,6
111,"Hello all, youre well.",22,4,positive,0.2732,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.5833324879957394,2
112,"Lord Yupa,",10,2,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.654810443553359,6
113,Weve missed you.,16,3,negative,-0.296,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.58333076613017,4
114,"Princess, he has come.",22,4,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.6529494703471884,3
115,Wait.,5,1,neutral,0.0,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.5833315725055791,4
116,Lord Yupa.,10,2,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.654810443553359,6
117,"Old Mito, youre hard at work.",29,6,negative,-0.1027,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.4748962818365307,1
118,Tonight Ill hear,16,3,negative,-0.4215,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.5833319552560942,5
119,"OK, start.",10,2,positive,0.4466,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.5833271271465079,5
120,Seems to work.,14,3,neutral,0.0,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.5827354121035851,4
121,This is excellent.,18,3,positive,0.5719,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.16666666666666669,0
122,"Tomorrow, well send",19,3,positive,0.2732,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.6547698573011688,5
123,"Come, Toeto.",12,2,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5833320178320202,3
124,"Lord Yupa, this is Toetos",25,5,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.654810443553359,6
125,Lets have a look.,17,4,neutral,0.0,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.3830504207559703,5
126,A fine baby.,12,3,positive,0.2023,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.6548077167463601,2
127,Reminds me of Nausica,21,4,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5833324477384526,3
128,Please be her godfather.,24,4,positive,0.3182,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.583332047915107,4
129,Name her that a fair,20,5,positive,0.3182,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.6547691961641842,1
130,I will indeed.,14,3,neutral,0.0,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.5833271640087868,4
131,Ill find her a fine name.,25,6,negative,-0.25,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.41224249536679686,1
132,Thank you.,10,2,positive,0.3612,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.5833322339579071,2
133,May she grow up as,18,5,neutral,0.0,5,"princess, nausica, wind, valley, come, right, earth, forest, ohmus, return",0.5833278896062037,3
134,Shes as strong as they come.,28,6,positive,0.5106,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.29769994775233627,0
135,But we wont want her,20,5,negative,-0.0857,0,"pejite, highness, asbel, ill, want, cant, shes, sorry, know, kill",0.6542773443715685,5
136,But thats where I,17,4,neutral,0.0,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.5829789820403537,1
137,Put yourself in my shoes.,25,5,neutral,0.0,3,"yupa, lord, everyone, ship, see, good, theres, world, give, safe",0.5833303986687035,6
138,Shes made me sick with worry.,29,6,negative,-0.7351,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.49577082396679395,1
139,Let her play in the Sea of Decay,32,8,negative,-0.0772,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.6942311551695612,2
140,"Indeed, her presence",20,3,neutral,0.0,2,"hurry, please, yes, must, wait, get, hold, burn, rage, spores",0.6547710612487981,4
141,Saved by the girl?,18,4,positive,0.4215,1,"dont, ohmu, look, mito, obaba, theyre, take, thats, move, way",0.650900704714076,1
142,This is a fine valley.,22,5,positive,0.2023,4,"youre, sea, thank, fire, decay, whats, coming, gun, even, giant",0.3831462588150781,0
